file, datetime, full string, float conversion attemptFLIR10000.jpg, 2022:09:23 09:56:18, 223 *
, ['2', '2', '3']FLIR10001.jpg, 2022:09:23 09:56:33, 224
, ['2', '2', '4']FLIR10002.jpg, 2022:09:23 09:56:48, 224
, ['2', '2', '4']FLIR10003.jpg, 2022:09:23 09:57:04, 225 +
, ['2', '2', '5']FLIR10004.jpg, 2022:09:23 09:57:18, 225 +
, ['2', '2', '5']FLIR10005.jpg, 2022:09:23 09:57:34, 225 +
, ['2', '2', '5']FLIR10006.jpg, 2022:09:23 09:57:48, 225 +
, ['2', '2', '5']FLIR10007.jpg, 2022:09:23 09:58:04, 225 +
, ['2', '2', '5']FLIR10008.jpg, 2022:09:23 09:58:18, 225 +
, ['2', '2', '5']FLIR10009.jpg, 2022:09:23 09:58:33, 225 +
, ['2', '2', '5']FLIR10010.jpg, 2022:09:23 09:58:49, 225 +
, ['2', '2', '5']FLIR10011.jpg, 2022:09:23 09:59:03, 226 F
, ['2', '2', '6']FLIR10012.jpg, 2022:09:23 09:59:19, 227
, ['2', '2', '7']FLIR10013.jpg, 2022:09:23 09:59:33, 226 F
, ['2', '2', '6']FLIR10014.jpg, 2022:09:23 09:59:49, 226 F
, ['2', '2', '6']FLIR10015.jpg, 2022:09:23 10:00:10, 226 F
, ['2', '2', '6']FLIR10016.jpg, 2022:09:23 10:00:19, 227
, ['2', '2', '7']FLIR10017.jpg, 2022:09:23 10:00:34, 228 +
, ['2', '2', '8']FLIR10018.jpg, 2022:09:23 10:00:48, 227
, ['2', '2', '7']FLIR10019.jpg, 2022:09:23 10:01:03, 228 +
, ['2', '2', '8']FLIR10020.jpg, 2022:09:23 10:01:19, 228 +
, ['2', '2', '8']FLIR10021.jpg, 2022:09:23 10:01:33, 227
, ['2', '2', '7']FLIR10022.jpg, 2022:09:23 10:01:49, 228 +
, ['2', '2', '8']FLIR10023.jpg, 2022:09:23 10:02:03, 228 +
, ['2', '2', '8']FLIR10024.jpg, 2022:09:23 10:02:16, 228 +
, ['2', '2', '8']FLIR10025.jpg, 2022:09:23 10:02:33, 229 +
